time_s,wheel_speed,raw_weight,velocity,pitch,roll,acc,acc_z
29:27.8,0,14578,0,-0.5,0.7,0,9.8
29:27.9,0,14570,0,-0.5,0.7,0,9.8
29:28.0,0,14567,0,-0.5,0.7,0,9.8
29:28.1,0,14573,0,-0.5,0.7,0,9.8
29:28.2,0,14580,0,-0.5,0.7,0,9.8
29:28.3,0,14585,0,-0.5,0.7,0,9.8
29:28.4,0,14579,0,-0.5,0.7,0,9.8
29:28.5,0,14577,0,-0.5,0.7,0,9.8
29:28.6,0,14579,0,-0.5,0.7,0,9.8
29:28.7,0,14577,0,-0.5,0.7,0.1,9.8
29:28.8,0,14577,0,-0.5,0.7,-0.1,9.8
29:28.9,0,14579,0,-0.5,0.7,0,9.8
29:29.0,0,14581,0,-0.5,0.7,0,9.8
29:29.1,0,14578,0,-0.5,0.7,0,9.8
29:29.2,0,14578,0,-0.5,0.7,0,9.8
29:29.3,0,14579,0,-0.5,0.7,0,9.8
29:29.4,0,14579,0,-0.5,0.7,0,9.8
29:29.5,0,14578,0,-0.5,0.7,0,9.8
29:29.6,0,14577,0,-0.5,0.7,0,9.8
29:29.7,0,14578,0,-0.5,0.7,0,9.8
29:29.8,0,14574,0,-0.5,0.7,0,9.8
29:29.9,0,14578,0,-0.5,0.7,0.1,9.8
29:30.0,0,14583,0,-0.5,0.7,-0.1,9.8
29:30.1,0,14587,0,-0.5,0.7,0,9.8
29:30.2,0,14586,0,-0.5,0.7,0,9.8
29:30.3,0,14584,0,-0.5,0.7,0,9.8
29:30.5,0,14582,0,-0.5,0.7,0,9.8
29:30.6,0,14582,0,-0.5,0.7,0,9.8
29:30.7,0,14581,0,-0.5,0.7,0,9.8
29:30.8,0,14579,0,-0.5,0.7,0,9.8
29:30.9,0,14575,0,-0.5,0.7,0,9.8
29:31.0,0,14574,0,-0.5,0.7,0,9.8
29:31.1,0,14576,0,-0.5,0.7,0,9.8
29:31.2,0,14582,0,-0.5,0.7,0,9.8
29:31.3,0,14582,0,-0.5,0.7,0.1,9.8
29:31.4,0,14581,0,-0.5,0.7,0,9.8
29:31.5,0,14581,0,-0.5,0.6,0,9.8
29:31.6,0,14583,0,-0.5,0.6,0,9.8
29:31.7,0,14581,0,-0.5,0.6,0,9.8
29:31.8,0,14582,0,-0.5,0.6,-0.1,9.8
29:31.9,0,14582,0,-0.5,0.6,0,9.8
29:32.0,0,14581,0,-0.5,0.6,0,9.8
29:32.1,0,14585,0,-0.5,0.6,0.1,9.8
29:32.2,0,14587,0,-0.5,0.6,0,9.8
29:32.3,0,14584,0,-0.5,0.6,-0.1,9.8
29:32.4,0,14584,0,-0.5,0.6,0,9.8
29:32.5,0,14587,0,-0.5,0.6,0,9.8
29:32.6,0,14582,0,-0.5,0.6,0,9.8
29:32.7,0,14582,0,-0.5,0.6,0,9.8
29:32.8,0,14579,0,-0.5,0.6,0,9.8
29:32.9,0,14577,0,-0.5,0.6,0.1,9.8
29:33.0,0,14581,0,-0.5,0.6,0,9.8
29:33.1,0,14581,0,-0.5,0.6,-0.1,9.8
